longwave_radiance	isotropic_longwave_radiance_in_air
mass_fraction_of_dust_dry_aerosol_in_air	mass_fraction_of_dust_dry_aerosol_particles_in_air
mass_fraction_of_nitrate_dry_aerosol_in_air	mass_fraction_of_nitrate_dry_aerosol_particles_in_air
mass_fraction_of_nitric_acid_trihydrate_ambient_aerosol_in_air	mass_fraction_of_nitric_acid_trihydrate_ambient_aerosol_particles_in_air
mass_fraction_of_secondary_particulate_organic_matter_dry_aerosol_in_air	mass_fraction_of_secondary_particulate_organic_matter_dry_aerosol_particles_in_air
mass_fraction_of_sulfate_dry_aerosol_in_air	mass_fraction_of_sulfate_dry_aerosol_particles_in_air
mass_fraction_of_water_in_ambient_aerosol_in_air	mass_fraction_of_water_in_ambient_aerosol_particles_in_air
mole_concentration_of_nitric_acid_trihydrate_ambient_aerosol_in_air	mole_concentration_of_nitric_acid_trihydrate_ambient_aerosol_particles_in_air
mole_fraction_of_nitric_acid_trihydrate_ambient_aerosol_in_air	mole_fraction_of_nitric_acid_trihydrate_ambient_aerosol_particles_in_air
number_concentration_of_ambient_aerosol_in_air	number_concentration_of_ambient_aerosol_particles_in_air
number_concentration_of_coarse_mode_ambient_aerosol_in_air	number_concentration_of_coarse_mode_ambient_aerosol_particles_in_air
number_concentration_of_nucleation_mode_ambient_aerosol_in_air	number_concentration_of_nucleation_mode_ambient_aerosol_particles_in_air
optical_thickness_of_atmosphere_layer_due_to_ambient_aerosol	optical_thickness_of_atmosphere_layer_due_to_ambient_aerosol_particles
optical_thickness_of_atmosphere_layer_due_to_aerosol	optical_thickness_of_atmosphere_layer_due_to_ambient_aerosol_particles
tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_due_to_dry_deposition	tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_dry_deposition
tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_due_to_wet_deposition	tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_wet_deposition
tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_dry_deposition	tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_dry_deposition
